ID,Target Shape,Target Bins,Selected Shape,Selected Bin,Time Taken
1,Red_Tri,1 & 4,Red_Tri,1,1.44
1,Red_Tri,1 & 4,Blue_Circle,2,1.12
1,Red_Tri,1 & 4,Red_Tri,3,1.58
1,Red_Tri,1 & 4,Red_Tri,3,1.259999
1,Red_Tri,1 & 4,Blue_Circle,4,1.120001
1,Red_Tri,1 & 4,Red_Tri,3,1
1,Red_Tri,1 & 4,Blue_Square,3,0.9599991
1,Red_Tri,1 & 4,Red_Tri,2,1.08
1,Red_Tri,1 & 4,Green_Square,3,1.259998
1,Red_Tri,1 & 4,Blue_Circle,1,1.74
1,Red_Tri,1 & 4,Blue_Circle,1,1.740002
1,Red_Tri,1 & 4,Red_Tri,2,2.619999
1,Red_Tri,1 & 4,Red_Tri,2,1.219999
1,Red_Tri,1 & 4,Green_Square,3,1.860001
1,Red_Tri,1 & 4,Red_Tri,1,1.380001
1,Red_Tri,1 & 4,Red_Tri,2,1.540001

