ID,Mouse Position (x/y),Current Time (ms)
§,(819/399),1600
§,(819/399),1660
§,(839/395),1760
§,(867/389),1860
§,(1335/162),2000
§,(1370/83),2120
§,(1448/25),2220
§,(1514/35),2360
§,(1522/38),2460
§,(1522/38),2560
§,(1522/38),2700
§,(1522/38),2820
§,(1522/38),2820
§,(1522/38),2940
§,(1522/38),3060
§,(1522/38),3160
§,(1522/38),3280
§,(1522/38),3420
§,(1522/38),3560
§,(1522/38),3660
§,(1522/38),3760
§,(1522/38),3880
§,(1522/38),3980
§,(1522/38),4120
§,(1522/38),4240
§,(1522/38),4420
§,(1522/38),4560
§,(1522/38),4660
§,(1522/38),4780
§,(1481/77),4900
§,(1461/100),5020
§,(1458/105),5140
§,(1458/105),5280
§,(1458/105),5380
§,(1405/172),5480
§,(1370/203),5600
§,(963/409),5740
§,(937/402),5840
§,(903/363),5980
§,(892/354),6100
§,(892/354),6200
§,(877/358),6260
§,(877/358),6380
§,(1497/168),6580
§,(1587/92),6700
§,(1557/75),6820
§,(1552/73),6940
§,(1533/62),7060
§,(1475/52),7180
§,(1475/52),7300
§,(1475/52),7440
§,(834/592),7600
§,(724/711),7720
§,(726/711),7840
§,(732/711),7960
§,(737/711),8120
§,(737/696),8240
§,(728/513),8380
§,(714/477),8500
§,(704/460),8620
§,(681/415),8740
§,(680/414),8860
§,(680/414),9000
§,(680/414),9120
§,(641/413),9280
§,(-229/295),9400
§,(-255/289),9620
§,(-255/289),9740
§,(-255/289),9860
§,(-255/289),10020
§,(-255/289),10140
§,(-255/289),10280
§,(46/1435),10420
§,(364/1974),10680
§,(363/1977),10780
§,(411/2024),10900
§,(452/2018),11040
§,(453/2017),11240

